City,tempmax,sealevelpressure
New Delhi,34,1002.8
New Delhi,33.9,1006.2
New Delhi,34.8,1008.8
New Delhi,36.8,1009.5
New Delhi,38.8,1007.8
New Delhi,38,1006.2
New Delhi,36,1009
New Delhi,34.9,1009.1
New Delhi,36.2,1009.8
New Delhi,36.9,1011.2
New Delhi,38.5,1011.1
New Delhi,38.7,1011.5
New Delhi,39.4,1010
New Delhi,39.6,1008.7
New Delhi,40.1,1007.5
New Delhi,39.6,1006.8
New Delhi,33.1,1009.5
New Delhi,35.2,1011.4
New Delhi,37.1,1007.3
New Delhi,33.8,1006.3
New Delhi,32.7,1008.4
New Delhi,33,1010.6
New Delhi,31.9,1008.9
New Delhi,32.8,1010.1
New Delhi,36.7,1009.7
New Delhi,39.7,1007.9
New Delhi,41.2,1006.8
New Delhi,42,1007.5
New Delhi,41.9,1007.4
New Delhi,39.3,1007.5
New Delhi,40.7,1007.1
New Delhi,38.8,1007.3
New Delhi,38.7,1005.8
New Delhi,40.4,1004.2
New Delhi,39.4,1005.3
New Delhi,39,1007.3
New Delhi,35.2,1009.4
New Delhi,38.3,1008
New Delhi,39,1005.9
New Delhi,36.1,1004.6
New Delhi,39.1,1003.2
New Delhi,37,1001.6
New Delhi,33.9,1003.6
New Delhi,36.6,1003.5
New Delhi,38.5,1004.8
New Delhi,40,1006.1
New Delhi,37,1006.1
New Delhi,31,1006.6
New Delhi,25,1004.5
New Delhi,30.7,1002.3
New Delhi,32.1,1005.2
New Delhi,34.5,1005.3
New Delhi,33,1005.9
New Delhi,36,1006
New Delhi,39,1002.2
New Delhi,39.1,1000
New Delhi,40.4,1000.2
New Delhi,38,1001.9
New Delhi,37,1003.4
New Delhi,36.8,1003.6
New Delhi,38.6,1000.2
New Delhi,32.9,1003.8
New Delhi,36,1004.6
New Delhi,38,1005.3
New Delhi,38.6,1005.3
New Delhi,37.2,1003.7
New Delhi,37.4,1003.3
New Delhi,39.5,1001.1
New Delhi,40.8,998.7
New Delhi,41.5,997.2
New Delhi,38.8,997.6
New Delhi,38,997.4
New Delhi,35.3,999.1
New Delhi,34.5,999.8
New Delhi,37.8,997.6
New Delhi,37.9,994.7
New Delhi,32.7,997.8
New Delhi,35.7,999.6
New Delhi,35.8,1000.5
New Delhi,34.5,1000.3
New Delhi,34,1001
New Delhi,37,1002
New Delhi,40,1001.2
New Delhi,40.1,1001.5
New Delhi,38,1001.5
New Delhi,39,1000.6
New Delhi,38,1002.6
New Delhi,39,1004.7
New Delhi,39.3,1003.4
New Delhi,42,1000.2
New Delhi,43,997.1
Mumbai,31.7,1006.8
Mumbai,32.8,1007
Mumbai,31.9,1008.1
Mumbai,32,1009.9
Mumbai,31.9,1009.7
Mumbai,35,1008.7
Mumbai,33.6,1009.5
Mumbai,31.2,1008.3
Mumbai,31.7,1008
Mumbai,32.4,1008.8
Mumbai,33.4,1009.7
Mumbai,33.4,1010.9
Mumbai,35,1009.9
Mumbai,34.2,1009.8
Mumbai,34.4,1009.7
Mumbai,31.9,1009.6
Mumbai,32.7,1010.1
Mumbai,33.7,1010.3
Mumbai,33.6,1009.4
Mumbai,33.2,1008.7
Mumbai,31.9,1010.3
Mumbai,33.4,1009.9
Mumbai,34,1010
Mumbai,32.4,1009.3
Mumbai,33.7,1008
Mumbai,33.4,1007.6
Mumbai,34.1,1008.8
Mumbai,33.1,1009.8
Mumbai,33,1009.2
Mumbai,32.1,1008.2
Mumbai,35.4,1007.2
Mumbai,33.6,1007.7
Mumbai,34.8,1007.4
Mumbai,33.7,1007
Mumbai,33,1007
Mumbai,33.1,1007.5
Mumbai,33.4,1008.6
Mumbai,32.9,1007.3
Mumbai,33.3,1006.6
Mumbai,33.8,1006.5
Mumbai,33.1,1007.1
Mumbai,33,1005.6
Mumbai,32.8,1004.9
Mumbai,33.1,1002.7
Mumbai,36.7,999.6
Mumbai,36.7,997.5
Mumbai,32,995.7
Mumbai,30.8,1001.6
Mumbai,31,1003.8
Mumbai,32.4,1006.3
Mumbai,32.7,1007
Mumbai,32.8,1006.5
Mumbai,32.8,1007.3
Mumbai,33.1,1008.3
Mumbai,32.7,1006.7
Mumbai,32.4,1005.8
Mumbai,32.6,1005.8
Mumbai,32.9,1006.1
Mumbai,33.4,1006.8
Mumbai,32.8,1006.8
Mumbai,31.4,1005.2
Mumbai,33.2,1005.2
Mumbai,32.1,1005.9
Mumbai,33.1,1006.6
Mumbai,33.1,1007.4
Mumbai,32.4,1006.6
Mumbai,32.1,1007.1
Mumbai,32.2,1007.4
Mumbai,30.7,1006.3
Mumbai,28,1005.2
Mumbai,29,1004.7
Mumbai,29.8,1003.9
Mumbai,30,1003.3
Mumbai,31.7,1003.2
Mumbai,32.2,1001.8
Mumbai,31,1000.6
Mumbai,28.7,1001
Mumbai,29,1001.8
Mumbai,32,1002.5
Mumbai,31.2,1004.9
Mumbai,31.7,1006.2
Mumbai,32.1,1007
Mumbai,32,1006.9
Mumbai,32,1006.4
Mumbai,30.7,1006.9
Mumbai,29,1005.9
Mumbai,31.7,1005.8
Mumbai,30,1007.6
Mumbai,30.1,1006.8
Mumbai,31.4,1006.1
Mumbai,30.7,1006.1
Chennai,39,1003.8
Chennai,41,1004
Chennai,38,1005.2
Chennai,35,1007
Chennai,33,1008.6
Chennai,33.2,1009.8
Chennai,33,1010.7
Chennai,32.6,1009.5
Chennai,32.1,1009.2
Chennai,32,1010.4
Chennai,32.6,1011.2
Chennai,32.1,1011.3
Chennai,32.1,1010.8
Chennai,33.9,1010.4
Chennai,30.5,1010.3
Chennai,33,1009.5
Chennai,34.4,1002.4
Chennai,33.9,1011.4
Chennai,33.7,1009.2
Chennai,34.5,1008.4
Chennai,33.5,1009.9
Chennai,34.2,1010.1
Chennai,33.9,1004.3
Chennai,33.6,1009
Chennai,33.3,1008.7
Chennai,32.9,1008.2
Chennai,34,1008.6
Chennai,34.6,1008.9
Chennai,34.6,1008.3
Chennai,33.5,1008
Chennai,33.8,1008.4
Chennai,34.1,1008.6
Chennai,33.8,1008
Chennai,33.6,991.7
Chennai,34,1007.7
Chennai,34,1008.8
Chennai,33.8,1009.5
Chennai,33.3,1008.7
Chennai,33.4,1006.8
